,index,mc_type,k,feat,noise,sep,Sums,only
0,hubers,min_max,2,10,0.0,0.5,0,0
1,norm,min_max,2,10,0.0,0.5,0,0
2,tss,min_max,2,10,0.0,0.5,0,0
3,hubers,random_order,2,10,0.0,0.5,1,1
4,norm,random_order,2,10,0.0,0.5,0,0
5,tss,random_order,2,10,0.0,0.5,0,0
6,hubers,pca_trans,2,10,0.0,0.5,0,0
7,norm,pca_trans,2,10,0.0,0.5,0,0
8,tss,pca_trans,2,10,0.0,0.5,0,0
9,hubers,min_max,2,10,0.0,1.0,0,0
10,norm,min_max,2,10,0.0,1.0,5,0
11,tss,min_max,2,10,0.0,1.0,0,0
12,hubers,random_order,2,10,0.0,1.0,3,0
13,norm,random_order,2,10,0.0,1.0,5,0
14,tss,random_order,2,10,0.0,1.0,0,0
15,hubers,pca_trans,2,10,0.0,1.0,0,0
16,norm,pca_trans,2,10,0.0,1.0,4,0
17,tss,pca_trans,2,10,0.0,1.0,0,0
18,hubers,min_max,2,10,0.0,3.0,0,0
19,norm,min_max,2,10,0.0,3.0,2,0
20,tss,min_max,2,10,0.0,3.0,0,0
21,hubers,random_order,2,10,0.0,3.0,3,0
22,norm,random_order,2,10,0.0,3.0,2,0
23,tss,random_order,2,10,0.0,3.0,0,0
24,hubers,pca_trans,2,10,0.0,3.0,1,2
25,norm,pca_trans,2,10,0.0,3.0,5,0
26,tss,pca_trans,2,10,0.0,3.0,0,0
27,hubers,min_max,4,10,0.0,0.5,0,0
28,norm,min_max,4,10,0.0,0.5,0,0
29,tss,min_max,4,10,0.0,0.5,0,0
30,hubers,random_order,4,10,0.0,0.5,0,0
31,norm,random_order,4,10,0.0,0.5,0,0
32,tss,random_order,4,10,0.0,0.5,0,0
33,hubers,pca_trans,4,10,0.0,0.5,0,0
34,norm,pca_trans,4,10,0.0,0.5,0,0
35,tss,pca_trans,4,10,0.0,0.5,0,0
36,hubers,min_max,4,10,0.0,1.0,0,0
37,norm,min_max,4,10,0.0,1.0,5,0
38,tss,min_max,4,10,0.0,1.0,0,0
39,hubers,random_order,4,10,0.0,1.0,1,0
40,norm,random_order,4,10,0.0,1.0,2,0
41,tss,random_order,4,10,0.0,1.0,0,0
42,hubers,pca_trans,4,10,0.0,1.0,0,0
43,norm,pca_trans,4,10,0.0,1.0,1,0
44,tss,pca_trans,4,10,0.0,1.0,0,0
45,hubers,min_max,4,10,0.0,3.0,0,0
46,norm,min_max,4,10,0.0,3.0,5,0
47,tss,min_max,4,10,0.0,3.0,0,0
48,hubers,random_order,4,10,0.0,3.0,5,0
49,norm,random_order,4,10,0.0,3.0,5,0
50,tss,random_order,4,10,0.0,3.0,0,0
51,hubers,pca_trans,4,10,0.0,3.0,2,0
52,norm,pca_trans,4,10,0.0,3.0,5,0
53,tss,pca_trans,4,10,0.0,3.0,0,0
54,hubers,min_max,5,10,0.0,0.5,0,0
55,norm,min_max,5,10,0.0,0.5,0,0
56,tss,min_max,5,10,0.0,0.5,0,0
57,hubers,random_order,5,10,0.0,0.5,0,0
58,norm,random_order,5,10,0.0,0.5,0,0
59,tss,random_order,5,10,0.0,0.5,0,0
60,hubers,pca_trans,5,10,0.0,0.5,0,0
61,norm,pca_trans,5,10,0.0,0.5,0,0
62,tss,pca_trans,5,10,0.0,0.5,0,0
63,hubers,min_max,5,10,0.0,1.0,0,0
64,norm,min_max,5,10,0.0,1.0,2,0
65,tss,min_max,5,10,0.0,1.0,0,0
66,hubers,random_order,5,10,0.0,1.0,2,0
67,norm,random_order,5,10,0.0,1.0,0,0
68,tss,random_order,5,10,0.0,1.0,0,0
69,hubers,pca_trans,5,10,0.0,1.0,0,0
70,norm,pca_trans,5,10,0.0,1.0,0,0
71,tss,pca_trans,5,10,0.0,1.0,0,0
72,hubers,min_max,5,10,0.0,3.0,0,0
73,norm,min_max,5,10,0.0,3.0,5,0
74,tss,min_max,5,10,0.0,3.0,0,0
75,hubers,random_order,5,10,0.0,3.0,5,0
76,norm,random_order,5,10,0.0,3.0,5,0
77,tss,random_order,5,10,0.0,3.0,0,0
78,hubers,pca_trans,5,10,0.0,3.0,0,1
79,norm,pca_trans,5,10,0.0,3.0,5,0
80,tss,pca_trans,5,10,0.0,3.0,0,0
81,hubers,min_max,2,10,0.1,0.5,0,0
82,norm,min_max,2,10,0.1,0.5,2,0
83,tss,min_max,2,10,0.1,0.5,0,0
84,hubers,random_order,2,10,0.1,0.5,1,2
85,norm,random_order,2,10,0.1,0.5,0,0
86,tss,random_order,2,10,0.1,0.5,0,0
87,hubers,pca_trans,2,10,0.1,0.5,0,0
88,norm,pca_trans,2,10,0.1,0.5,0,0
89,tss,pca_trans,2,10,0.1,0.5,0,0
90,hubers,min_max,2,10,0.1,1.0,0,0
91,norm,min_max,2,10,0.1,1.0,2,0
92,tss,min_max,2,10,0.1,1.0,0,0
93,hubers,random_order,2,10,0.1,1.0,2,1
94,norm,random_order,2,10,0.1,1.0,0,0
95,tss,random_order,2,10,0.1,1.0,0,0
96,hubers,pca_trans,2,10,0.1,1.0,0,0
97,norm,pca_trans,2,10,0.1,1.0,0,0
98,tss,pca_trans,2,10,0.1,1.0,0,0
99,hubers,min_max,2,10,0.1,3.0,0,0
100,norm,min_max,2,10,0.1,3.0,0,1
101,tss,min_max,2,10,0.1,3.0,0,0
102,hubers,random_order,2,10,0.1,3.0,3,0
103,norm,random_order,2,10,0.1,3.0,0,0
104,tss,random_order,2,10,0.1,3.0,0,0
105,hubers,pca_trans,2,10,0.1,3.0,1,1
106,norm,pca_trans,2,10,0.1,3.0,2,0
107,tss,pca_trans,2,10,0.1,3.0,0,0
108,hubers,min_max,4,10,0.1,0.5,0,0
109,norm,min_max,4,10,0.1,0.5,0,0
110,tss,min_max,4,10,0.1,0.5,0,0
111,hubers,random_order,4,10,0.1,0.5,0,0
112,norm,random_order,4,10,0.1,0.5,0,0
113,tss,random_order,4,10,0.1,0.5,0,0
114,hubers,pca_trans,4,10,0.1,0.5,0,0
115,norm,pca_trans,4,10,0.1,0.5,0,0
116,tss,pca_trans,4,10,0.1,0.5,0,0
117,hubers,min_max,4,10,0.1,1.0,0,0
118,norm,min_max,4,10,0.1,1.0,0,0
119,tss,min_max,4,10,0.1,1.0,0,0
120,hubers,random_order,4,10,0.1,1.0,3,0
121,norm,random_order,4,10,0.1,1.0,0,0
122,tss,random_order,4,10,0.1,1.0,0,0
123,hubers,pca_trans,4,10,0.1,1.0,0,0
124,norm,pca_trans,4,10,0.1,1.0,0,0
125,tss,pca_trans,4,10,0.1,1.0,0,0
126,hubers,min_max,4,10,0.1,3.0,0,0
127,norm,min_max,4,10,0.1,3.0,4,0
128,tss,min_max,4,10,0.1,3.0,0,0
129,hubers,random_order,4,10,0.1,3.0,5,0
130,norm,random_order,4,10,0.1,3.0,4,0
131,tss,random_order,4,10,0.1,3.0,0,0
132,hubers,pca_trans,4,10,0.1,3.0,1,1
133,norm,pca_trans,4,10,0.1,3.0,5,0
134,tss,pca_trans,4,10,0.1,3.0,0,0
135,hubers,min_max,5,10,0.1,0.5,0,0
136,norm,min_max,5,10,0.1,0.5,0,0
137,tss,min_max,5,10,0.1,0.5,0,0
138,hubers,random_order,5,10,0.1,0.5,1,0
139,norm,random_order,5,10,0.1,0.5,0,0
140,tss,random_order,5,10,0.1,0.5,0,0
141,hubers,pca_trans,5,10,0.1,0.5,0,0
142,norm,pca_trans,5,10,0.1,0.5,0,0
143,tss,pca_trans,5,10,0.1,0.5,0,0
144,hubers,min_max,5,10,0.1,1.0,0,0
145,norm,min_max,5,10,0.1,1.0,2,0
146,tss,min_max,5,10,0.1,1.0,0,0
147,hubers,random_order,5,10,0.1,1.0,0,0
148,norm,random_order,5,10,0.1,1.0,0,0
149,tss,random_order,5,10,0.1,1.0,0,0
150,hubers,pca_trans,5,10,0.1,1.0,0,0
151,norm,pca_trans,5,10,0.1,1.0,0,0
152,tss,pca_trans,5,10,0.1,1.0,0,0
153,hubers,min_max,5,10,0.1,3.0,0,0
154,norm,min_max,5,10,0.1,3.0,5,0
155,tss,min_max,5,10,0.1,3.0,0,0
156,hubers,random_order,5,10,0.1,3.0,5,0
157,norm,random_order,5,10,0.1,3.0,5,0
158,tss,random_order,5,10,0.1,3.0,0,0
159,hubers,pca_trans,5,10,0.1,3.0,1,1
160,norm,pca_trans,5,10,0.1,3.0,5,0
161,tss,pca_trans,5,10,0.1,3.0,0,0
162,hubers,min_max,2,10,0.5,0.5,0,0
163,norm,min_max,2,10,0.5,0.5,0,0
164,tss,min_max,2,10,0.5,0.5,0,0
165,hubers,random_order,2,10,0.5,0.5,2,0
166,norm,random_order,2,10,0.5,0.5,0,0
167,tss,random_order,2,10,0.5,0.5,0,0
168,hubers,pca_trans,2,10,0.5,0.5,0,0
169,norm,pca_trans,2,10,0.5,0.5,0,0
170,tss,pca_trans,2,10,0.5,0.5,0,0
171,hubers,min_max,2,10,0.5,1.0,0,0
172,norm,min_max,2,10,0.5,1.0,0,0
173,tss,min_max,2,10,0.5,1.0,0,0
174,hubers,random_order,2,10,0.5,1.0,1,1
175,norm,random_order,2,10,0.5,1.0,0,0
176,tss,random_order,2,10,0.5,1.0,0,0
177,hubers,pca_trans,2,10,0.5,1.0,0,0
178,norm,pca_trans,2,10,0.5,1.0,0,0
179,tss,pca_trans,2,10,0.5,1.0,0,0
180,hubers,min_max,2,10,0.5,3.0,0,1
181,norm,min_max,2,10,0.5,3.0,0,1
182,tss,min_max,2,10,0.5,3.0,0,0
183,hubers,random_order,2,10,0.5,3.0,3,0
184,norm,random_order,2,10,0.5,3.0,0,0
185,tss,random_order,2,10,0.5,3.0,0,0
186,hubers,pca_trans,2,10,0.5,3.0,1,2
187,norm,pca_trans,2,10,0.5,3.0,5,0
188,tss,pca_trans,2,10,0.5,3.0,0,0
189,hubers,min_max,4,10,0.5,0.5,0,0
190,norm,min_max,4,10,0.5,0.5,0,0
191,tss,min_max,4,10,0.5,0.5,0,0
192,hubers,random_order,4,10,0.5,0.5,2,0
193,norm,random_order,4,10,0.5,0.5,0,0
194,tss,random_order,4,10,0.5,0.5,0,0
195,hubers,pca_trans,4,10,0.5,0.5,0,0
196,norm,pca_trans,4,10,0.5,0.5,0,0
197,tss,pca_trans,4,10,0.5,0.5,0,0
198,hubers,min_max,4,10,0.5,1.0,0,0
199,norm,min_max,4,10,0.5,1.0,0,0
200,tss,min_max,4,10,0.5,1.0,0,0
201,hubers,random_order,4,10,0.5,1.0,2,0
202,norm,random_order,4,10,0.5,1.0,0,0
203,tss,random_order,4,10,0.5,1.0,0,0
204,hubers,pca_trans,4,10,0.5,1.0,0,0
205,norm,pca_trans,4,10,0.5,1.0,0,0
206,tss,pca_trans,4,10,0.5,1.0,0,0
207,hubers,min_max,4,10,0.5,3.0,0,0
208,norm,min_max,4,10,0.5,3.0,0,0
209,tss,min_max,4,10,0.5,3.0,0,0
210,hubers,random_order,4,10,0.5,3.0,2,0
211,norm,random_order,4,10,0.5,3.0,0,0
212,tss,random_order,4,10,0.5,3.0,0,0
213,hubers,pca_trans,4,10,0.5,3.0,1,0
214,norm,pca_trans,4,10,0.5,3.0,5,0
215,tss,pca_trans,4,10,0.5,3.0,0,0
216,hubers,min_max,5,10,0.5,0.5,0,0
217,norm,min_max,5,10,0.5,0.5,0,0
218,tss,min_max,5,10,0.5,0.5,0,0
219,hubers,random_order,5,10,0.5,0.5,2,0
220,norm,random_order,5,10,0.5,0.5,0,0
221,tss,random_order,5,10,0.5,0.5,0,0
222,hubers,pca_trans,5,10,0.5,0.5,0,0
223,norm,pca_trans,5,10,0.5,0.5,0,0
224,tss,pca_trans,5,10,0.5,0.5,0,0
225,hubers,min_max,5,10,0.5,1.0,0,0
226,norm,min_max,5,10,0.5,1.0,0,0
227,tss,min_max,5,10,0.5,1.0,0,0
228,hubers,random_order,5,10,0.5,1.0,0,0
229,norm,random_order,5,10,0.5,1.0,0,0
230,tss,random_order,5,10,0.5,1.0,0,0
231,hubers,pca_trans,5,10,0.5,1.0,0,0
232,norm,pca_trans,5,10,0.5,1.0,0,0
233,tss,pca_trans,5,10,0.5,1.0,0,0
234,hubers,min_max,5,10,0.5,3.0,0,0
235,norm,min_max,5,10,0.5,3.0,3,0
236,tss,min_max,5,10,0.5,3.0,0,0
237,hubers,random_order,5,10,0.5,3.0,5,0
238,norm,random_order,5,10,0.5,3.0,3,0
239,tss,random_order,5,10,0.5,3.0,0,0
240,hubers,pca_trans,5,10,0.5,3.0,0,0
241,norm,pca_trans,5,10,0.5,3.0,5,0
242,tss,pca_trans,5,10,0.5,3.0,0,0
